,TV,Radio,Newspaper,actual sales,predicted sales
148,38.0,40.3,11.9,10.9,11.978372618420048
157,149.8,1.3,24.3,10.1,9.872366835354335
71,109.8,14.3,31.7,12.4,10.441156478083535
108,13.1,0.4,25.6,5.3,3.2151689690803957
64,131.1,42.8,28.9,18.0,16.86519076074391
89,109.8,47.8,51.4,16.7,16.79728502560072
80,76.4,26.7,22.3,11.8,11.214277839978578
110,225.8,8.2,56.5,13.4,14.778835733710688
180,156.6,2.6,8.3,10.5,10.446781630502521
101,296.4,36.3,100.9,23.8,23.451563311078893
27,240.1,16.7,22.9,15.9,17.081865176053782
8,8.6,2.1,1.0,4.8,3.3320387337238953
116,139.2,14.3,25.6,12.2,11.837935856411015
17,281.4,39.6,55.8,24.4,23.380381363540877
32,97.2,1.5,30.0,9.6,7.412944079236273
86,76.3,27.5,16.0,12.0,11.363391478248158
123,123.1,34.6,12.4,15.2,14.933364354213731
65,69.0,9.3,0.9,9.3,7.565199429989862
67,139.3,14.5,10.2,13.4,11.88537209081124
165,234.5,3.4,84.8,11.9,14.271371694840164
142,220.5,33.2,37.9,20.1,19.280933216975278
94,107.4,14.0,10.9,11.5,10.27667114049972
129,59.6,12.0,43.1,9.7,7.619074012336941
151,121.0,8.4,48.7,11.6,9.846856151912561
194,149.7,35.6,6.0,17.3,16.38730146381893
182,56.2,5.7,29.7,8.7,6.265390124646002
81,239.8,4.1,36.9,12.3,14.670421998529461
124,229.5,32.3,74.2,19.7,19.52592538814107
141,193.7,35.4,75.6,19.2,18.415664699318736
77,120.5,28.5,14.2,14.2,13.650972833612736
13,97.5,7.6,7.2,9.7,8.592630514541668
62,239.3,15.5,27.3,15.7,16.814665022402025
76,27.5,1.6,20.7,6.9,4.1277884659019115
88,88.3,25.5,73.4,12.9,11.535363922553778
90,134.3,4.9,9.3,11.2,9.825233116647095
162,188.4,18.1,25.6,14.9,14.893959122546299
177,170.2,7.8,35.2,11.7,12.071381189752762
6,57.5,32.8,23.5,11.8,11.475661726417806
169,284.3,10.6,6.4,15.0,18.0255447556753
147,243.2,49.0,44.3,25.4,23.35665875740294
